lat,lon,leng,color
39.532058,-1.734359,es,blue
39.884537,-3.881487,es,blue
41.169133,0.745581,ca,aquamarine
37.164008,-7.080313,en,yellow
43.269569,-3.925815,en,yellow
42.83512,-1.597025,es,blue
42.425867,-0.933469,es,blue
40.954173,-4.118211,ca,aquamarine
40.874715,-5.254434,es,blue
41.941392,2.754603,en,yellow
40.56242,-4.199214,es,blue
39.486427,-0.518483,es,blue
43.163499,-8.690291,pt,black
39.83088,4.155984,es,blue
41.42015,2.157762,es,blue
43.206786,-1.932175,es,blue
40.507812,-4.044296,es,blue
42.918226,-5.109976,es,blue
39.56586,3.242623,es,blue
27.734563,-15.674226,es,blue
41.016968,-5.675418,en,yellow
37.218368,-3.648433,es,blue
37.574702,-0.929042,es,blue
41.979435,-7.682782,es,blue
41.102209,1.057584,en,yellow
42.532577,-7.9148,pt,black
37.088748,-4.107002,es,blue
37.328859,-4.849723,es,blue
43.315327,-3.068973,en,yellow
36.719335,-3.63797,es,blue
39.999035,-4.916942,es,blue
40.442602,0.352207,es,blue
42.869212,-2.2354,pt,black
36.610389,-6.421242,en,yellow
38.344421,-1.094535,es,blue
38.595644,-0.733605,pt,black
37.422915,-4.950289,es,blue
41.580465,2.025576,es,blue
42.981818,-3.450668,en,yellow
37.524983,-4.389914,es,blue
41.453894,1.890182,es,blue
43.182469,-6.203672,it,green
42.072312,1.798688,es,blue
41.652383,2.694014,it,green
37.198796,-3.661245,en,yellow
40.728381,-3.831823,es,blue
41.324222,1.663612,es,blue
39.838717,-0.444007,en,yellow
28.838393,-13.882165,en,yellow
40.256265,-3.948477,es,blue
43.453301,-8.347343,pt,black
43.300614,-3.575119,es,blue
42.843382,-8.301252,es,blue
28.985086,-13.807639,en,yellow
37.616611,-6.140487,es,blue
42.701113,-0.461163,it,green
41.80286,1.734052,ca,aquamarine
43.225577,-8.469976,es,blue
36.000113,-7.522702,ca,aquamarine
38.098477,-0.858967,pt,black
37.905829,-4.283754,ca,aquamarine
39.613851,-0.379378,es,blue
42.594587,-9.065921,es,blue
39.65527,2.811714,en,yellow
38.160583,-1.40361,it,green
40.377795,-3.50927,es,blue
42.968989,-2.376905,es,blue
41.389723,2.005268,es,blue
40.407866,-4.04362,es,blue
40.710514,-4.042204,es,blue
38.085372,-1.326015,es,blue
43.266478,-2.440334,it,green
42.083714,-8.370835,es,blue
43.305045,-3.038428,pt,black
43.105853,-2.306026,es,blue
42.947056,-2.480631,es,blue
28.952313,-13.588182,es,blue
38.673628,0.078637,es,blue
43.168844,-2.884513,en,yellow
38.626031,-6.517718,es,blue
38.724378,-6.120087,es,blue
37.887501,-1.036797,es,blue
43.147047,-2.69738,es,blue
41.281555,1.313207,ca,aquamarine
41.633876,-2.066433,es,blue
39.670954,2.878058,pt,black
39.776759,-3.606131,es,blue
36.611816,-4.640553,es,blue
42.566595,-8.725559,es,blue
40.741841,0.608563,fr,magenta
36.644499,-5.946079,es,blue
37.254076,-6.200975,es,blue
39.917642,-2.802323,es,blue
37.395755,-6.011086,it,green
41.422625,-4.631209,es,blue
39.885407,-5.061047,es,blue
42.230121,-8.677943,es,blue
36.896833,-6.054418,it,green
43.64158,-7.387949,es,blue
43.408561,-3.9237,es,blue
36.310158,-5.613059,pt,black
43.372475,-3.465321,en,yellow
42.246013,-8.873868,es,blue
37.819619,-3.434931,es,blue
42.463033,-9.091553,en,yellow
43.172885,-2.007101,ca,aquamarine
38.912748,1.382581,ca,aquamarine
41.278146,1.847022,ca,aquamarine
42.25104,3.236755,ca,aquamarine
40.248107,-3.519844,pt,black
41.220202,1.333683,es,blue
37.135957,-6.940466,es,blue
43.136891,-8.359816,es,blue
41.990223,-1.413032,es,blue
41.773056,-1.488372,es,blue
37.133532,-3.632414,it,green
39.056239,-6.319528,es,blue
36.719095,-2.300484,es,blue
42.23228,3.131339,ca,aquamarine
38.080967,-5.808825,es,blue
39.928719,3.957391,es,blue
40.08937,-3.913754,es,blue
41.984378,2.243176,pt,black
41.786156,2.175235,it,green
28.103267,-16.68777,en,yellow
37.253433,-7.078277,pt,black
41.564021,2.256497,ca,aquamarine
28.017336,-15.621937,es,blue
37.78826,-2.587203,es,blue
40.564414,-3.277725,es,blue
42.814637,-1.626887,es,blue
39.045011,-0.565996,ca,aquamarine
41.517498,-0.982094,es,blue
43.375167,-3.924195,it,green
41.775335,2.028175,es,blue
39.970827,-3.977949,es,blue
28.337525,-16.445293,es,blue
41.548229,-4.773909,es,blue
43.161944,-5.631975,es,blue
40.803014,-1.927513,es,blue
38.91533,-3.806127,es,blue
41.052145,0.985493,es,blue
43.204438,-5.184748,es,blue
42.716441,-7.999801,es,blue
40.015498,-0.003213,en,yellow
36.45566,-6.257913,pt,black
28.964165,-13.651907,es,blue
42.05257,-8.557367,it,green
41.607439,2.276032,ca,aquamarine
43.001505,-3.177097,it,green
40.485651,-4.054407,es,blue
36.596707,-4.739979,es,blue
40.975575,-0.376243,pt,black
38.687781,-0.507839,ca,aquamarine
39.908162,-0.153693,es,blue
40.636621,-4.364497,es,blue
41.513812,1.674366,ca,aquamarine
39.447843,-0.554336,es,blue
42.262284,-8.763158,es,blue
39.422598,-0.92047,es,blue
43.087194,-2.582477,it,green
